ID	Gene Name
ADAM17	ADAM metallopeptidase domain 17(ADAM17)
LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(LFNG)
MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(MFNG)
NUMBL	"NUMB like, endocytic adaptor protein(NUMBL)"
RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(RFNG)
APH1A	"aph-1 homolog A, gamma-secretase subunit(APH1A)"
APH1B	"aph-1 homolog B, gamma-secretase subunit(APH1B)"
DLL1	delta like canonical Notch ligand 1(DLL1)
DLL3	delta like canonical Notch ligand 3(DLL3)
DLL4	delta like canonical Notch ligand 4(DLL4)
DTX1	deltex E3 ubiquitin ligase 1(DTX1)
DTX3	deltex E3 ubiquitin ligase 3(DTX3)
DTX3L	deltex E3 ubiquitin ligase 3L(DTX3L)
DVL1	dishevelled segment polarity protein 1(DVL1)
DVL2	dishevelled segment polarity protein 2(DVL2)
DVL3	dishevelled segment polarity protein 3(DVL3)
JAG1	jagged 1(JAG1)
JAG2	jagged 2(JAG2)
MAML1	mastermind like transcriptional coactivator 1(MAML1)
NCSTN	nicastrin(NCSTN)
NOTCH1	notch 1(NOTCH1)
NOTCH2	notch 2(NOTCH2)
NOTCH3	notch 3(NOTCH3)
NOTCH4	notch 4(NOTCH4)
PSEN1	presenilin 1(PSEN1)
PSEN2	presenilin 2(PSEN2)
PSENEN	presenilin enhancer gamma-secretase subunit(PSENEN)
RBPJL	recombination signal binding protein for immunoglobulin kappa J region like(RBPJL)
RBPJ	recombination signal binding protein for immunoglobulin kappa J region(RBPJ)
