"names"	"fccommunity"
"2353"	"GYG1"	"23"
"2354"	"HK1"	"17"
"2355"	"HK2"	"17"
"2356"	"HK3"	"17"
"2357"	"PRPS1"	"4"
"2358"	"PRPS2"	"4"
"2359"	"PYGB"	"22"
"2360"	"RBKS"	"4"
"2361"	"RPIA"	"4"
"2362"	"S100B"	"22"
"2363"	"ENSG00000173366"	"14"
"2364"	"CD2BP2"	"6"
"2365"	"GTF2F2"	"6"
"2366"	"HNRNPA0"	"1"
"2367"	"HNRNPH1"	"16"
"2368"	"NCBP1"	"6"
"2369"	"PCBP2"	"6"
"2370"	"POLR2H"	"6"
"2371"	"POLR2L"	"6"
"2372"	"PSPC1"	"6"
"2373"	"RBMX"	"6"
"2374"	"SF3B5"	"6"
"2375"	"SRSF2"	"6"
"2376"	"U2AF1"	"6"
"2377"	"CCNH"	"15"
"2378"	"CDK7"	"15"
"2379"	"DDB1"	"6"
"2380"	"DDB2"	"17"
"2381"	"ERCC5"	"21"
"2382"	"HERPUD1"	"4"
"2383"	"KIAA1377"	"24"
"2384"	"PCNA"	"20"
"2385"	"POLD4"	"20"
"2386"	"RFC4"	"20"
"2387"	"TCEA1"	"6"
"2388"	"TP53BP1"	"22"
"2389"	"ADAT2"	"6"
"2390"	"ALPI"	"18"
"2391"	"ALPL"	"18"
"2392"	"ALPP"	"17"
"2393"	"ALPPL2"	"18"
"2394"	"BAG5"	"19"
"2395"	"CPSF7"	"6"
"2396"	"DBT"	"18"
"2397"	"GPKOW"	"4"
"2398"	"KIAA1429"	"11"
"2399"	"MKI67"	"6"
"2400"	"PTS"	"18"
"2401"	"RNF113A"	"6"
"2402"	"TLE3"	"11"
"2403"	"A1CF"	"6"
"2404"	"CDC40"	"6"
"2405"	"ALG5"	"14"
"2406"	"GPAA1"	"14"
"2407"	"H2AFV"	"20"
"2408"	"HEMK1"	"18"
"2409"	"LENG8"	"6"
"2410"	"POLE4"	"20"
"2411"	"SAC3D1"	"20"
"2412"	"SMG6"	"21"
"2413"	"TMEM165"	"23"
"2414"	"TSR2"	"16"
"2415"	"GRB7"	"25"
"2416"	"SF3A3"	"6"
"2417"	"SH3GL3"	"25"
"2418"	"DDX46"	"6"
"2419"	"DHX8"	"6"
"2420"	"DLAT"	"14"
"2421"	"EIF4B"	"3"
"2422"	"KIN"	"14"
"2423"	"NCS1"	"14"
"2424"	"PIGW"	"14"
"2425"	"PRPF18"	"6"
"2426"	"RAD50"	"20"
"2427"	"SCFD1"	"14"
"2428"	"SUPT5H"	"20"
"2429"	"TIAL1"	"6"
"2430"	"WDR59"	"23"
"2431"	"TSEN2"	"6"
"2432"	"CCDC97"	"6"
"2433"	"DVL2"	"7"
"2434"	"ENAH"	"6"
"2435"	"EVL"	"6"
"2436"	"SMARCE1"	"6"
"2437"	"WBP11"	"6"
"2438"	"WBP4"	"6"
"2439"	"ZNF207"	"6"
"2440"	"DHX33"	"24"
"2441"	"CHORDC1"	"25"
"2442"	"CNN1"	"6"
"2443"	"ADAP1"	"22"
"2444"	"CCNL1"	"4"
"2445"	"CIR1"	"4"
"2446"	"NBPF20"	"6"
"2447"	"PRCC"	"6"
"2448"	"SREK1"	"6"
"2449"	"TTK"	"21"
"2450"	"YTHDC1"	"6"
"2451"	"PAIP1"	"6"
"2452"	"SRRM2"	"15"
"2453"	"ADAMTS1"	"13"
"2454"	"AP2A2"	"21"
"2455"	"APOE"	"13"
"2456"	"CELA1"	"13"
"2457"	"CTSE"	"4"
"2458"	"F2"	"13"
"2459"	"IL10"	"25"
"2460"	"IL1B"	"19"
"2461"	"KLK13"	"13"
"2462"	"KLK2"	"13"
"2463"	"KLK3"	"13"
"2464"	"LCAT"	"23"
"2465"	"LRP1"	"13"
"2466"	"MMP2"	"13"
"2467"	"MYOC"	"13"
"2468"	"NGF"	"13"
"2469"	"PAEP"	"21"
"2470"	"PDGFA"	"13"
"2471"	"PDGFB"	"25"
"2472"	"SPACA3"	"17"
"2473"	"TGFBI"	"13"
"2474"	"ABI2"	"4"
"2475"	"FURIN"	"13"
"2476"	"NRG1"	"25"
"2477"	"ACAN"	"13"
"2478"	"CDC73"	"24"
"2479"	"CR2"	"13"
"2480"	"KRT10"	"13"
"2481"	"TJP1"	"12"
"2482"	"AFTPH"	"11"
"2483"	"AMPH"	"25"
"2484"	"AP3S1"	"14"
"2485"	"CEP250"	"21"
"2486"	"DISC1"	"4"
"2487"	"DNM1"	"22"
"2488"	"GMEB1"	"21"
"2489"	"GTF2F1"	"6"
"2490"	"HSPG2"	"13"
"2491"	"KCNJ11"	"20"
"2492"	"LAMA5"	"13"
"2493"	"LAMC1"	"13"
"2494"	"MBD1"	"21"
"2495"	"NPR1"	"6"
"2496"	"PEX6"	"21"
"2497"	"PIAS3"	"21"
"2498"	"PRSS8"	"21"
"2499"	"RRBP1"	"21"
"2500"	"SLC12A4"	"21"
"2501"	"SMAD1"	"21"
"2502"	"SNAP91"	"25"
"2503"	"STRN"	"22"
"2504"	"SYT1"	"22"
"2505"	"TTC3"	"21"
"2506"	"ZBTB6"	"21"
"2507"	"ENSG00000189231"	"21"
"2508"	"APOA1"	"13"
"2509"	"APOA2"	"13"
"2510"	"APOA4"	"13"
"2511"	"APOC1"	"13"
"2512"	"APOC3"	"13"
"2513"	"BBC3"	"13"
"2514"	"CABLES1"	"13"
"2515"	"CEP44"	"13"
"2516"	"CLCA2"	"13"
"2517"	"CROT"	"13"
"2518"	"DGKG"	"13"
"2519"	"DMD"	"13"
"2520"	"GRAP2"	"13"
"2521"	"ITGA2"	"13"
"2522"	"KIAA1551"	"13"
"2523"	"KRT1"	"13"
"2524"	"LAT"	"13"
"2525"	"LDB3"	"13"
"2526"	"LDLR"	"13"
"2527"	"LRP2"	"13"
"2528"	"LRP8"	"13"
"2529"	"MAP2"	"22"
"2530"	"MYL4"	"13"
"2531"	"MYLK3"	"13"
"2532"	"NEFM"	"22"
"2533"	"NLRC4"	"13"
"2534"	"NPHS1"	"13"
"2535"	"PALB2"	"13"
"2536"	"PCED1B"	"13"
"2537"	"PDZRN4"	"13"
"2538"	"PLTP"	"13"
"2539"	"PRNP"	"13"
"2540"	"QTRTD1"	"13"
"2541"	"SCARB1"	"13"
"2542"	"SCN5A"	"13"
"2543"	"SDC2"	"13"
"2544"	"SGOL2"	"13"
"2545"	"SLA2"	"13"
"2546"	"SLC9A8"	"13"
"2547"	"SPAST"	"13"
"2548"	"TLN2"	"13"
"2549"	"TRAPPC11"	"13"
"2550"	"ENSG00000215756"	"13"
"2551"	"ENSG00000215755"	"13"
"2552"	"ENSG00000215754"	"13"
"2553"	"ACHE"	"13"
"2554"	"APBA2"	"13"
"2555"	"APBA3"	"18"
"2556"	"APBB2"	"21"
"2557"	"APBB3"	"14"
"2558"	"BACE1"	"4"
"2559"	"BACE2"	"5"
"2560"	"BID"	"19"
"2561"	"CASP6"	"19"
"2562"	"CLSTN1"	"21"
"2563"	"COL1A2"	"13"
"2564"	"COL4A1"	"13"
"2565"	"COL4A5"	"13"
"2566"	"CTRB1"	"13"
"2567"	"CTRB2"	"13"
"2568"	"CYP2G1P"	"13"
"2569"	"DNAH1"	"22"
"2570"	"DYNLRB2"	"19"
"2571"	"GFAP"	"13"
"2572"	"GPC1"	"13"
"2573"	"KLC1"	"21"
"2574"	"LRP1B"	"13"
"2575"	"MEGF8"	"19"
"2576"	"MT3"	"19"
"2577"	"NCSTN"	"7"
"2578"	"PGAM1"	"22"
"2579"	"PSEN2"	"7"
"2580"	"SERPINA3"	"13"
"2581"	"SPON1"	"13"
"2582"	"STXBP1"	"22"
"2583"	"TGFB2"	"13"
"2584"	"TNXB"	"19"
"2585"	"ENSG00000198461"	"13"
"2586"	"CSN2"	"19"
"2587"	"LPA"	"13"
"2588"	"PI3"	"13"
"2589"	"SERPINA1"	"13"
"2590"	"EDN3"	"22"
"2591"	"INS-IGF2"	"25"
"2592"	"F11"	"13"
"2593"	"F13A1"	"13"
"2594"	"F2R"	"22"
"2595"	"F2RL2"	"22"
"2596"	"F5"	"13"
"2597"	"F9"	"13"
"2598"	"IGHG1"	"13"
"2599"	"IGKC"	"13"
"2600"	"ITGA2B"	"13"
"2601"	"ITGA5"	"13"
"2602"	"PLAU"	"13"
"2603"	"PROC"	"13"
"2604"	"PROS1"	"13"
"2605"	"SEBOX"	"13"
"2606"	"SECISBP2"	"21"
"2607"	"SERPINA5"	"13"
"2608"	"SERPINC1"	"13"
"2609"	"SERPIND1"	"13"
"2610"	"SERPINE1"	"13"
"2611"	"SPP1"	"13"
"2612"	"THBS1"	"13"
"2613"	"TSC22D1"	"4"
"2614"	"TTPAL"	"13"
"2615"	"USP6"	"13"
"2616"	"ENSG00000056345"	"13"
"2617"	"EPOR"	"25"
"2618"	"IFNAR2"	"25"
"2619"	"IFNGR2"	"25"
"2620"	"IFNLR1"	"25"
"2621"	"IL10RA"	"25"
"2622"	"IL11RA"	"25"
"2623"	"IL22RA1"	"25"
"2624"	"IL22RA2"	"25"
"2625"	"IL23R"	"25"
"2626"	"IL2RG"	"25"
"2627"	"IL6R"	"25"
"2628"	"IL7R"	"25"
"2629"	"OSMR"	"25"
"2630"	"ENSG00000159113"	"25"
"2631"	"FOS"	"21"
"2632"	"JUN"	"21"
"2633"	"PRTN3"	"13"
"2634"	"SERPINF2"	"13"
"2635"	"IGFBP2"	"13"
"2636"	"SEMG1"	"13"
"2637"	"SERPINA4"	"13"
"2638"	"AOAH"	"13"
"2639"	"ARMC2"	"13"
"2640"	"CACNA1I"	"13"
"2641"	"CDH12"	"13"
"2642"	"CTSL"	"13"
"2643"	"ELN"	"13"
"2644"	"FGFR1"	"15"
"2645"	"GJC2"	"13"
"2646"	"ICAM4"	"13"
"2647"	"IGHG2"	"13"
"2648"	"IGHV3-23"	"13"
"2649"	"IGLC2"	"13"
"2650"	"IGLC3"	"13"
"2651"	"IGLL1"	"13"
"2652"	"IGLV3-21"	"13"
"2653"	"KRT9"	"13"
"2654"	"LTBP4"	"13"
"2655"	"NUP214"	"13"
"2656"	"OR2T6"	"13"
"2657"	"OR8D2"	"13"
"2658"	"PLAG1"	"13"
"2659"	"PTHLH"	"22"
"2660"	"PZP"	"13"
"2661"	"RFX7"	"13"
"2662"	"RTKN2"	"13"
"2663"	"SAA4"	"13"
"2664"	"SEMG2"	"13"
"2665"	"SLPI"	"13"
"2666"	"TGM4"	"13"
"2667"	"ZNF232"	"13"
"2668"	"ENSG00000206511"	"13"
"2669"	"ENSG00000171362"	"13"
"2670"	"C4BPA"	"13"
"2671"	"CALCR"	"22"
"2672"	"CANX"	"12"
"2673"	"CD82"	"13"
"2674"	"CTGF"	"13"
"2675"	"CTSG"	"13"
"2676"	"GULP1"	"13"
"2677"	"HSP90B1"	"18"
"2678"	"ITGB1BP1"	"13"
"2679"	"LIPC"	"25"
"2680"	"LTF"	"13"
"2681"	"MMP13"	"13"
"2682"	"MMP15"	"13"
"2683"	"MMP16"	"13"
"2684"	"MMP17"	"19"
"2685"	"NOS1AP"	"22"
"2686"	"PDIA2"	"25"
"2687"	"PTCH1"	"21"
"2688"	"SCN3A"	"13"
"2689"	"SNX17"	"13"
"2690"	"SYNJ2BP"	"13"
"2691"	"TIMP1"	"13"
"2692"	"DCN"	"13"
"2693"	"HAPLN1"	"13"
"2694"	"JUNB"	"21"
"2695"	"CKM"	"24"
"2696"	"COL3A1"	"19"
"2697"	"ECE1"	"13"
"2698"	"FBN1"	"13"
"2699"	"FTL"	"24"
"2700"	"GGTLC1"	"1"
"2701"	"ITGA7"	"13"
"2702"	"MYL2"	"13"
"2703"	"NGFR"	"4"
"2704"	"NTRK2"	"25"
"2705"	"SORCS3"	"13"
"2706"	"COPS6"	"24"
"2707"	"IL36RN"	"21"
"2708"	"JPH1"	"21"
"2709"	"PTPRC"	"25"
"2710"	"SRY"	"21"
"2711"	"ART1"	"22"
"2712"	"BMX"	"25"
"2713"	"COL1A1"	"13"
"2714"	"DYRK1B"	"25"
"2715"	"DYRK2"	"25"
"2716"	"ERBB2"	"25"
"2717"	"FES"	"15"
"2718"	"FGFR4"	"25"
"2719"	"FLT1"	"25"
"2720"	"HCK"	"15"
"2721"	"IGF1R"	"15"
"2722"	"KDR"	"25"
"2723"	"MET"	"25"
"2724"	"PTK6"	"15"
"2725"	"SRMS"	"25"
"2726"	"CDKN1C"	"21"
"2727"	"CLDN4"	"15"
"2728"	"LCNL1"	"4"
"2729"	"UBE2O"	"4"
"2730"	"USH1C"	"4"
"2731"	"COL2A1"	"13"
"2732"	"COL4A3"	"13"
"2733"	"COL4A4"	"13"
"2734"	"RAP2C"	"22"
"2735"	"A4GALT"	"17"
"2736"	"B3GALNT1"	"17"
"2737"	"B3GALT5"	"17"
"2738"	"NAGA"	"21"
"2739"	"A4GNT"	"17"
"2740"	"B3GNT6"	"17"
"2741"	"GALNT1"	"17"
"2742"	"GALNT10"	"17"
"2743"	"GALNT11"	"17"
"2744"	"GALNT12"	"17"
"2745"	"GALNT13"	"17"
"2746"	"GALNT14"	"17"
"2747"	"GALNT15"	"17"
"2748"	"GALNT2"	"17"
"2749"	"GALNT5"	"17"
"2750"	"GALNT6"	"17"
"2751"	"GALNT8"	"17"
"2752"	"GALNT9"	"17"
"2753"	"GBA"	"17"
"2754"	"GMPPA"	"17"
"2755"	"PIGM"	"17"
"2756"	"PIGN"	"17"
"2757"	"UGCG"	"17"
"2758"	"WBSCR17"	"17"
"2759"	"B3GALT1"	"17"
"2760"	"B3GALT2"	"17"
"2761"	"B3GNT3"	"17"
"2762"	"B4GALT3"	"17"
"2763"	"FUT4"	"17"
"2764"	"FUT7"	"17"
"2765"	"PTPRF"	"24"
"2766"	"MUC2"	"12"
"2767"	"MXD1"	"21"
"2768"	"MUC4"	"25"
"2769"	"B4GALT4"	"17"
"2770"	"MUC13"	"12"
"2771"	"BTBD9"	"21"
"2772"	"ENPP7"	"17"
"2773"	"SGMS1"	"17"
"2774"	"CCNK"	"4"
"2775"	"PGM2"	"23"
"2776"	"ALG1"	"14"
"2777"	"ALG2"	"4"
"2778"	"ALDH3A1"	"18"
"2779"	"AQP3"	"12"
"2780"	"GIPC1"	"22"
"2781"	"PIGX"	"17"
"2782"	"SCD"	"14"
"2783"	"SMPD2"	"20"
"2784"	"VAPA"	"14"
"2785"	"YIPF1"	"14"
"2786"	"YIPF2"	"14"
"2787"	"REEP5"	"14"
"2788"	"GLB1"	"17"
"2789"	"PTDSS1"	"17"
"2790"	"PTDSS2"	"17"
"2791"	"RTN1"	"23"
"2792"	"RTN3"	"22"
"2793"	"SGMS2"	"17"
"2794"	"SMPD1"	"17"
"2795"	"AAAS"	"2"
"2796"	"EP300"	"21"
"2797"	"IL4I1"	"2"
"2798"	"NUP107"	"20"
"2799"	"NUP155"	"2"
"2800"	"NUP188"	"2"
"2801"	"NUP205"	"2"
"2802"	"NUP210"	"2"
"2803"	"NUP35"	"2"
"2804"	"NUP43"	"2"
"2805"	"NUP54"	"2"
"2806"	"NUP85"	"2"
"2807"	"NUP88"	"2"
"2808"	"NUP93"	"2"
"2809"	"NUP98"	"2"
"2810"	"NUPL1"	"2"
"2811"	"NUPL2"	"2"
"2812"	"POM121C"	"2"
"2813"	"RAE1"	"2"
"2814"	"AHR"	"21"
"2815"	"CTBP2"	"21"
"2816"	"HIST2H3D"	"20"
"2817"	"HOXD4"	"21"
"2818"	"N4BP2"	"21"
"2819"	"PPARA"	"21"
"2820"	"PPARG"	"21"
"2821"	"ACOT9"	"18"
"2822"	"ACTR6"	"20"
"2823"	"ACTR8"	"20"
"2824"	"AHCTF1"	"6"
"2825"	"ARHGAP15"	"3"
"2826"	"ATP13A1"	"14"
"2827"	"CAMKK1"	"17"
"2828"	"CDY1B"	"20"
"2829"	"CDY2A"	"12"
"2830"	"CDY2B"	"12"
"2831"	"CDYL"	"12"
"2832"	"CENPF"	"25"
"2833"	"CETN3"	"20"
"2834"	"CHTF18"	"1"
"2835"	"CSNK2A2"	"15"
"2836"	"CTDNEP1"	"14"
"2837"	"DGCR14"	"4"
"2838"	"ECI2"	"12"
"2839"	"FEN1"	"20"
"2840"	"GLE1"	"2"
"2841"	"GSR"	"10"
"2842"	"GTPBP4"	"3"
"2843"	"H2AFZ"	"20"
"2844"	"HORMAD2"	"20"
"2845"	"LPIN1"	"14"
"2846"	"MMS19"	"1"
"2847"	"MORF4L1"	"20"
"2848"	"MRPS2"	"3"
"2849"	"NES"	"20"
"2850"	"NOC2L"	"3"
"2851"	"NUP160"	"2"
"2852"	"NUP37"	"2"
"2853"	"NUP62"	"4"
"2854"	"OGFOD1"	"23"
"2855"	"PES1"	"3"
"2856"	"PLAA"	"20"
"2857"	"RMND5A"	"20"
"2858"	"SEH1L"	"2"
"2859"	"SETD2"	"20"
"2860"	"SNW1"	"6"
"2861"	"STT3B"	"14"
"2862"	"TOP3A"	"20"
"2863"	"UQCC"	"2"
"2864"	"USP7"	"19"
"2865"	"VPS72"	"20"
"2866"	"WDR5"	"20"
"2867"	"XRCC3"	"20"
"2868"	"ENSG00000111788"	"20"
"2869"	"NXF2"	"22"
"2870"	"PANK1"	"21"
"2871"	"SENP2"	"17"
"2872"	"XPO7"	"4"
"2873"	"CDK4"	"21"
"2874"	"DBI"	"18"
"2875"	"ZFYVE9"	"21"
"2876"	"ZFP36"	"5"
"2877"	"FXR1"	"24"
"2878"	"BLOC1S1"	"4"
"2879"	"BLOC1S4"	"4"
"2880"	"CCDC85B"	"4"
"2881"	"CSTF1"	"6"
"2882"	"DTNBP1"	"4"
"2883"	"ERH"	"24"
"2884"	"GSTT1"	"10"
"2885"	"IRF2BP1"	"4"
"2886"	"PAPLN"	"4"
"2887"	"SUDS3"	"21"
"2888"	"DYNC1LI1"	"18"
"2889"	"PHC1"	"21"
"2890"	"PHC1P1"	"21"
"2891"	"STK3"	"19"
"2892"	"STRN3"	"22"
"2893"	"ARHGAP19"	"4"
"2894"	"CCDC22"	"4"
"2895"	"INO80B"	"17"
"2896"	"MAD2L2"	"21"
"2897"	"MRPL42"	"11"
"2898"	"NUCB1"	"22"
"2899"	"PPP1R21"	"18"
"2900"	"RIBC2"	"4"
"2901"	"SDCCAG8"	"4"
"2902"	"WTAP"	"4"
"2903"	"ARIH2"	"4"
"2904"	"BRF2"	"4"
"2905"	"C20orf24"	"4"
"2906"	"GNL2"	"3"
"2907"	"GSTK1"	"4"
"2908"	"MRPL4"	"6"
"2909"	"MYC"	"1"
"2910"	"NEK6"	"4"
"2911"	"NMD3"	"3"
"2912"	"NUTF2"	"23"
"2913"	"PHLDA3"	"4"
"2914"	"PNKP"	"4"
"2915"	"PRKAB1"	"15"
"2916"	"RPL18A"	"3"
"2917"	"SAP18"	"4"
"2918"	"ENSG00000182520"	"3"
"2919"	"ENSG00000171549"	"3"
"2920"	"AIFM2"	"14"
"2921"	"ALK"	"25"
"2922"	"AMMECR1"	"3"
"2923"	"AMMECR1L"	"2"
"2924"	"BUB3"	"6"
"2925"	"CDC14B"	"25"
"2926"	"DUS3L"	"2"
"2927"	"GAMT"	"23"
"2928"	"GID4"	"3"
"2929"	"GLTSCR2"	"14"
"2930"	"IPO11"	"14"
"2931"	"KPNA5"	"23"
"2932"	"MOB1A"	"14"
"2933"	"MRPS16"	"20"
"2934"	"MSI1"	"14"
"2935"	"OSBP"	"14"
"2936"	"QRICH2"	"4"
"2937"	"RCC1"	"20"
"2938"	"RRP12"	"3"
"2939"	"SCYL1"	"14"
"2940"	"SLC16A6"	"4"
"2941"	"SMARCD1"	"20"
"2942"	"SPATA5"	"20"
"2943"	"TIMELESS"	"20"
"2944"	"TNPO1"	"12"
"2945"	"TSTD1"	"2"
"2946"	"ENSG00000206266"	"3"
"2947"	"ARHGEF4"	"22"
"2948"	"LPXN"	"16"
"2949"	"RBPMS"	"4"
"2950"	"TEX11"	"4"
"2951"	"BUB1"	"13"
"2952"	"KLRC4"	"4"
"2953"	"KPNA6"	"23"
"2954"	"MTRF1L"	"18"
"2955"	"UQCRFS1"	"5"
"2956"	"CFH"	"13"
"2957"	"F7"	"13"
"2958"	"ITIH1"	"13"
"2959"	"PLA2G4F"	"13"
"2960"	"ENSG00000166285"	"13"
"2961"	"AACS"	"18"
"2962"	"BDH1"	"18"
"2963"	"EHHADH"	"18"
"2964"	"HADH"	"18"
"2965"	"HMGCL"	"18"
"2966"	"HMGCS2"	"18"
"2967"	"ACAA2"	"18"
"2968"	"ACACA"	"17"
"2969"	"ACOT12"	"18"
"2970"	"OXCT2"	"18"
"2971"	"PDHA2"	"23"
"2972"	"ACADL"	"18"
"2973"	"ACADM"	"18"
"2974"	"ACADS"	"18"
"2975"	"ACOX2"	"18"
"2976"	"DHCR24"	"18"
"2977"	"NPHP3"	"18"
"2978"	"SCP2"	"18"
"2979"	"SLC27A2"	"18"
"2980"	"SLC27A3"	"18"
"2981"	"AUH"	"18"
"2982"	"MS4A7"	"18"
"2983"	"FARSA"	"23"
"2984"	"AADAC"	"18"
"2985"	"ESCO2"	"18"
"2986"	"HYAL3"	"18"
"2987"	"KAT6B"	"18"
"2988"	"ENSG00000196959"	"18"
"2989"	"ACAD8"	"6"
"2990"	"ACADSB"	"18"
"2991"	"ACOT11"	"18"
"2992"	"GPD1"	"18"
"2993"	"HNMT"	"18"
"2994"	"TMEM91"	"18"
"2995"	"ENSG00000189311"	"18"
"2996"	"SUN2"	"4"
"2997"	"TRAIP"	"14"
"2998"	"BMPR2"	"21"
"2999"	"GUSB"	"8"
"3000"	"HTR2A"	"22"
"3001"	"AADAT"	"18"
"3002"	"AKR1B10"	"18"
"3003"	"HSD17B12"	"14"
"3004"	"NT5C1B"	"18"
"3005"	"RDH12"	"18"
"3006"	"RDH13"	"18"
"3007"	"C9orf41"	"6"
"3008"	"CCDC86"	"3"
"3009"	"PAK4"	"15"
"3010"	"RUSC2"	"14"
"3011"	"SUCLA2"	"21"
"3012"	"SUCLG2"	"18"
"3013"	"ZHX1"	"24"
"3014"	"ACTR3B"	"14"
"3015"	"ATP6V0B"	"14"
"3016"	"EIF2S2"	"3"
"3017"	"ELOVL5"	"14"
"3018"	"EPT1"	"14"
"3019"	"HHAT"	"18"
"3020"	"MAOA"	"18"
"3021"	"POMT2"	"14"
"3022"	"RRAS2"	"25"
"3023"	"SC5D"	"14"
"3024"	"SEC61A1"	"1"
"3025"	"SLC29A3"	"14"
"3026"	"SLC35G1"	"14"
"3027"	"SLC7A14"	"14"
"3028"	"SLC7A4"	"14"
"3029"	"STX10"	"14"
"3030"	"TMED2"	"14"
"3031"	"TMEM63A"	"14"
"3032"	"UCHL5"	"23"
"3033"	"YIPF5"	"14"
"3034"	"ENTPD8"	"6"
"3035"	"PNP"	"18"
"3036"	"EPHX1"	"18"
"3037"	"AAGAB"	"24"
"3038"	"UNC119"	"24"
"3039"	"ADAMTS9"	"5"
"3040"	"ALDH2"	"18"
"3041"	"ANXA3"	"24"
"3042"	"ARL15"	"24"
"3043"	"ARL4D"	"24"
"3044"	"ATPAF2"	"15"
"3045"	"CD247"	"25"
"3046"	"CYB561D2"	"19"
"3047"	"GIPC2"	"24"
"3048"	"KDM1A"	"16"
"3049"	"MRPS12"	"24"
"3050"	"PTPRS"	"24"
"3051"	"QTRT1"	"24"
"3052"	"RUFY3"	"24"
"3053"	"SEPHS1"	"24"
"3054"	"ZFP64"	"24"
"3055"	"ENSG00000206239"	"24"
"3056"	"ENSG00000204218"	"24"
"3057"	"ABL2"	"15"
"3058"	"ACVR1B"	"15"
"3059"	"ACVR2B"	"15"
"3060"	"ADCK3"	"15"
"3061"	"ALPK3"	"15"
"3062"	"ANAPC7"	"15"
"3063"	"ATAD3B"	"15"
"3064"	"ATF2"	"15"
"3065"	"AZI2"	"15"
"3066"	"BTK"	"15"
"3067"	"CLK1"	"15"
"3068"	"DOK1"	"15"
"3069"	"DYRK1A"	"15"
"3070"	"FRYL"	"15"
"3071"	"GRAMD1A"	"15"
"3072"	"HIPK1"	"15"
"3073"	"INPPL1"	"15"
"3074"	"KIT"	"15"
"3075"	"MAP4K2"	"15"
"3076"	"MAP4K5"	"15"
"3077"	"MAPK6"	"15"
"3078"	"MNAT1"	"15"
"3079"	"PKN3"	"15"
"3080"	"PRKD2"	"15"
"3081"	"RIPK2"	"15"
"3082"	"SIK2"	"15"
"3083"	"SIK3"	"15"
"3084"	"SPEG"	"15"
"3085"	"TAOK1"	"15"
"3086"	"ENSG00000105216"	"15"
"3087"	"ADAM15"	"13"
"3088"	"CREB1"	"21"
"3089"	"GPX1P1"	"15"
"3090"	"TUSC2"	"8"
"3091"	"EPHB3"	"15"
"3092"	"PROX1"	"21"
"3093"	"PTPRD"	"24"
"3094"	"SIVA1"	"19"
"3095"	"ACSL1"	"18"
"3096"	"ACSL3"	"18"
"3097"	"ACSL5"	"18"
"3098"	"ACSL6"	"18"
"3099"	"CPT1A"	"18"
"3100"	"CPT1C"	"18"
"3101"	"CPT2"	"18"
"3102"	"CTNNA3"	"22"
"3103"	"MAGI1"	"22"
"3104"	"MAGI2"	"22"
"3105"	"MYOZ1"	"4"
"3106"	"PDLIM1"	"21"
"3107"	"PIP4K2B"	"25"
"3108"	"ZYX"	"19"
"3109"	"ACVR2A"	"15"
"3110"	"AJUBA"	"15"
"3111"	"BMP2"	"21"
"3112"	"BMP7"	"21"
"3113"	"FANCL"	"18"
"3114"	"FBXO30"	"21"
"3115"	"FKBP4"	"21"
"3116"	"FNTA"	"22"
"3117"	"GDF5"	"21"
"3118"	"ILKAP"	"15"
"3119"	"INHBB"	"13"
"3120"	"NEK8"	"15"
"3121"	"NUAK2"	"12"
"3122"	"PLEK"	"15"
"3123"	"PLEKHB1"	"21"
"3124"	"RAB6B"	"14"
"3125"	"RAP2A"	"22"
"3126"	"RXRA"	"21"
"3127"	"SMAD9"	"21"
"3128"	"STX8"	"14"
"3129"	"THRB"	"21"
"3130"	"WDR61"	"17"
"3131"	"DACT2"	"21"
"3132"	"GDF11"	"15"
"3133"	"ENSG00000212974"	"15"
"3134"	"ACVRL1"	"13"
"3135"	"INHBE"	"19"
"3136"	"MSTN"	"13"
"3137"	"ADA"	"12"
"3138"	"CCDC12"	"4"
"3139"	"CD47"	"13"
"3140"	"FBP1"	"22"
"3141"	"MDH1"	"12"
"3142"	"MITD1"	"23"
"3143"	"PLD2"	"12"
"3144"	"TKTL2"	"22"
"3145"	"ANAPC4"	"14"
"3146"	"CXCR2"	"13"
"3147"	"RAB11FIP2"	"22"
"3148"	"REPS2"	"12"
"3149"	"TOE1"	"24"
"3150"	"FAM46C"	"4"
"3151"	"LDLRAP1"	"13"
"3152"	"POM121"	"4"
"3153"	"TERF2IP"	"12"
"3154"	"ZBTB8A"	"4"
"3155"	"ANKS1A"	"25"
"3156"	"CDC42BPG"	"25"
"3157"	"CGN"	"25"
"3158"	"CPS1"	"23"
"3159"	"EFEMP1"	"4"
"3160"	"GAN"	"25"
"3161"	"GPRIN2"	"25"
"3162"	"HDAC4"	"21"
"3163"	"KLHDC2"	"25"
"3164"	"LAD1"	"25"
"3165"	"MLLT4"	"22"
"3166"	"NUDT14"	"24"
"3167"	"REEP3"	"25"
"3168"	"RND3"	"25"
"3169"	"RRAS"	"25"
"3170"	"SIPA1L1"	"25"
"3171"	"TNS4"	"25"
"3172"	"TRIM32"	"25"
"3173"	"USP8"	"25"
"3174"	"WDR37"	"25"
"3175"	"ENSG00000182319"	"25"
"3176"	"ATF7"	"21"
"3177"	"BACH1"	"21"
"3178"	"BATF3"	"21"
"3179"	"CEBPB"	"21"
"3180"	"DDIT3"	"21"
"3181"	"EYA3"	"4"
"3182"	"FOSL1"	"21"
"3183"	"FOSL2"	"21"
"3184"	"FOXA3"	"25"
"3185"	"GOLGA1"	"11"
"3186"	"GTPBP2"	"4"
