"names"	"fccommunity"
"202"	"DNALI1"	"6"
"203"	"DNM2"	"6"
"204"	"DUSP1"	"15"
"205"	"DUT"	"16"
"206"	"DYNLL1"	"16"
"207"	"EEF1A1"	"14"
"208"	"EEF1GP1"	"1"
"209"	"EEF2"	"23"
"210"	"EFNB1"	"12"
"211"	"EGFR"	"16"
"212"	"EIF1AX"	"3"
"213"	"EIF2B3"	"3"
"214"	"EIF2B5"	"3"
"215"	"EIF2S1"	"3"
"216"	"EIF3A"	"3"
"217"	"EIF3B"	"3"
"218"	"EIF3C"	"3"
"219"	"EIF3E"	"1"
"220"	"EIF3F"	"3"
"221"	"EIF3G"	"3"
"222"	"EIF3H"	"3"
"223"	"EIF3I"	"1"
"224"	"EIF3K"	"3"
"225"	"EIF4A1"	"23"
"226"	"EIF4A2"	"3"
"227"	"EIF4A3"	"16"
"228"	"EIF4E"	"3"
"229"	"EIF5A"	"23"
"230"	"EIF5B"	"3"
"231"	"ENO1"	"12"
"232"	"ENO3"	"23"
"233"	"ENTHD1"	"14"
"234"	"EPHA2"	"15"
"235"	"EPHB4"	"15"
"236"	"EPN3"	"14"
"237"	"EPS15"	"23"
"238"	"ERCC4"	"20"
"239"	"ESX1"	"14"
"240"	"EVI5"	"14"
"241"	"EXOC3"	"14"
"242"	"EXOC4"	"6"
"243"	"FAU"	"3"
"244"	"FBXO9"	"12"
"245"	"FBXW7"	"1"
"246"	"FDPS"	"23"
"247"	"FKBP1A"	"23"
"248"	"FLII"	"16"
"249"	"FLNA"	"16"
"250"	"FLNB"	"16"
"251"	"FSCN1"	"16"
"252"	"FSHR"	"22"
"253"	"GAPDH"	"23"
"254"	"GCH1"	"23"
"255"	"GCK"	"17"
"256"	"GFPT2"	"23"
"257"	"GGA1"	"14"
"258"	"GGA3"	"14"
"259"	"GLUL"	"23"
"260"	"GMFB"	"16"
"261"	"GMPPB"	"14"
"262"	"GMPS"	"3"
"263"	"GNAI1"	"22"
"264"	"GNAI3"	"22"
"265"	"GNL3"	"3"
"266"	"GOT1"	"23"
"267"	"GPATCH4"	"12"
"268"	"GPN3"	"6"
"269"	"GRB2"	"16"
"270"	"GRWD1"	"16"
"271"	"GSN"	"16"
"272"	"GSPT2"	"3"
"273"	"GSTM3"	"16"
"274"	"GSTP1"	"16"
"275"	"GTF2E2"	"20"
"276"	"H1F0"	"20"
"277"	"H2AFX"	"20"
"278"	"HADHB"	"1"
"279"	"HBA2"	"13"
"280"	"HEBP1"	"13"
"281"	"HECW2"	"12"
"282"	"HERC3"	"12"
"283"	"HGS"	"4"
"284"	"HIST1H1E"	"12"
"285"	"HIST1H2AB"	"20"
"286"	"HIST1H2AC"	"20"
"287"	"HIST1H2AD"	"20"
"288"	"HIST1H2AE"	"20"
"289"	"HIST1H2AH"	"20"
"290"	"HIST1H2AI"	"20"
"291"	"HIST1H2AL"	"20"
"292"	"HIST1H2BB"	"20"
"293"	"HIST1H2BC"	"20"
"294"	"HIST1H2BD"	"20"
"295"	"HIST1H2BE"	"20"
"296"	"HIST1H2BF"	"20"
"297"	"HIST1H2BG"	"20"
"298"	"HIST1H2BH"	"16"
"299"	"HIST1H2BI"	"20"
"300"	"HIST1H2BJ"	"20"
"301"	"HIST1H2BK"	"20"
"302"	"HIST1H2BL"	"1"
"303"	"HIST1H2BM"	"20"
"304"	"HIST1H2BO"	"20"
"305"	"HIST1H3C"	"16"
"306"	"HIST1H3D"	"16"
"307"	"HIST1H3E"	"16"
"308"	"HIST1H3H"	"16"
"309"	"HIST1H3I"	"16"
"310"	"HIST1H3J"	"16"
"311"	"HIST1H4A"	"20"
"312"	"HIST1H4B"	"20"
"313"	"HIST1H4C"	"20"
"314"	"HIST1H4D"	"20"
"315"	"HIST1H4E"	"20"
"316"	"HIST1H4F"	"20"
"317"	"HIST1H4H"	"20"
"318"	"HIST1H4I"	"20"
"319"	"HIST1H4J"	"20"
"320"	"HIST1H4K"	"20"
"321"	"HIST1H4L"	"20"
"322"	"HIST2H2AA3"	"16"
"323"	"HIST2H2AA4"	"16"
"324"	"HIST2H2BE"	"20"
"325"	"HIST2H2BF"	"20"
"326"	"HIST2H4A"	"20"
"327"	"HIST3H2A"	"20"
"328"	"HIST3H2BB"	"20"
"329"	"HIST4H4"	"20"
"330"	"HMGCLL1"	"23"
"331"	"HMGCR"	"14"
"332"	"HNRNPA1"	"16"
"333"	"HNRNPA2B1"	"16"
"334"	"HNRNPD"	"6"
"335"	"HNRNPF"	"1"
"336"	"HNRNPH2"	"16"
"337"	"HNRNPK"	"1"
"338"	"HNRNPM"	"6"
"339"	"HNRNPU"	"16"
"340"	"HRSP12"	"23"
"341"	"HSP90AA1"	"12"
"342"	"HSP90AB1"	"12"
"343"	"HSPA1B"	"12"
"344"	"HSPA1L"	"16"
"345"	"HSPA5"	"16"
"346"	"HSPA6"	"12"
"347"	"HSPA9"	"12"
"348"	"HSPB1"	"1"
"349"	"HSPD1"	"9"
"350"	"HSPH1"	"1"
"351"	"HTRA1"	"16"
"352"	"HUWE1"	"1"
"353"	"ICAM1"	"12"
"354"	"IDH3G"	"1"
"355"	"IKBKG"	"12"
"356"	"ILF3"	"16"
"357"	"IMPDH1"	"3"
"358"	"IMPDH2"	"16"
"359"	"IP6K1"	"3"
"360"	"IPO4"	"1"
"361"	"IPO7"	"1"
"362"	"IQGAP1"	"16"
"363"	"IRAK1"	"1"
"364"	"ITCH"	"25"
"365"	"ITPR3"	"16"
"366"	"KARS"	"23"
"367"	"KAT2B"	"20"
"368"	"KIAA1432"	"22"
"369"	"KIF3A"	"20"
"370"	"KLF5"	"21"
"371"	"KPNA2"	"1"
"372"	"KPNB1"	"1"
"373"	"KRT14"	"13"
"374"	"KRT17P2"	"16"
"375"	"KRT18"	"16"
"376"	"KRT5"	"13"
"377"	"KRT7"	"16"
"378"	"KRT8"	"16"
"379"	"LARP1B"	"3"
"380"	"LARS"	"23"
"381"	"LCK"	"25"
"382"	"LEPR"	"25"
"383"	"LEPROT"	"25"
"384"	"LGALS2"	"12"
"385"	"LGALS3"	"12"
"386"	"LIMA1"	"16"
"387"	"LMO7"	"16"
"388"	"LONP1"	"1"
"389"	"LRPPRC"	"1"
"390"	"LRRC59"	"12"
"391"	"LRRFIP2"	"16"
"392"	"LUC7L3"	"6"
"393"	"LUZP1"	"16"
"394"	"MAP3K1"	"25"
"395"	"MAP3K19"	"3"
"396"	"MAP3K3"	"15"
"397"	"MAP3K7"	"12"
"398"	"MARS"	"1"
"399"	"MAST2"	"12"
"400"	"MAT1A"	"23"
"401"	"MCM2"	"20"
"402"	"MCM4"	"20"
"403"	"MCM7"	"1"
"404"	"MDM2"	"21"
"405"	"MDM4"	"21"
"406"	"MDN1"	"3"
"407"	"MECR"	"14"
"408"	"MED1"	"6"
"409"	"MED10"	"6"
"410"	"MED11"	"6"
"411"	"MED12"	"6"
"412"	"MED13L"	"6"
"413"	"MED14"	"6"
"414"	"MED15"	"6"
"415"	"MED16"	"6"
"416"	"MED17"	"6"
"417"	"MED20"	"6"
"418"	"MED21"	"6"
"419"	"MED22"	"6"
"420"	"MED24"	"6"
"421"	"MED25"	"6"
"422"	"MED27"	"6"
"423"	"MED28"	"6"
"424"	"MED30"	"6"
"425"	"MED31"	"6"
"426"	"MED4"	"6"
"427"	"MED6"	"6"
"428"	"MED8"	"6"
"429"	"MED9"	"6"
"430"	"MME"	"12"
"431"	"MPRIP"	"16"
"432"	"MTHFD1"	"12"
"433"	"MYBBP1A"	"1"
"434"	"MYH10"	"16"
"435"	"MYH14"	"16"
"436"	"MYL12A"	"16"
"437"	"MYL12B"	"16"
"438"	"MYL6"	"16"
"439"	"MYO1A"	"16"
"440"	"MYO1B"	"16"
"441"	"MYO3B"	"16"
"442"	"MYO5B"	"14"
"443"	"MYO6"	"16"
"444"	"NANS"	"12"
"445"	"NAP1L1"	"20"
"446"	"NCL"	"1"
"447"	"NEDD4"	"6"
"448"	"NEXN"	"16"
"449"	"NFKBIA"	"12"
"450"	"NFKBIB"	"12"
